dats	tims	lons	lats	shear	mes		
11/01/2000	0:00	-179,021	32	c	1		
11/01/2000	6:00	156	26,342	c	1		
11/01/2000	6:00	140,16	28,84	a	1		
11/01/2000	6:00	-50	17,838	a	1		
11/01/2000	6:00	-66,382	40,382	c	1		
11/01/2000	6:00	-106,421	36,421	a	1		
11/01/2000	12:00	158,79	24,79	c	1		
11/01/2000	12:00	148,021	25,979	a	1		
11/01/2000	12:00	-52	16,431	a	1		
11/01/2000	18:00	172	22,301	a	1		
11/01/2000	18:00	158,438	22,438	c	1		
11/01/2000	18:00	-50	15,537	a	1		
11/01/2000	18:00	-85,328	34,328	a	1		
12/01/2000	0:00	4	24,414	a	1		
12/01/2000	0:00	-50	14,966	a	1		
12/01/2000	6:00	163,989	29	c	1		
12/01/2000	6:00	115,279	30,279	c	1		
12/01/2000	6:00	-46	15,936	a	1		
12/01/2000	6:00	-63,555	34,445	c	1		
12/01/2000	12:00	173	29,74	a	1		
12/01/2000	12:00	-45	17,971	a	1		
12/01/2000	12:00	-61,215	33,785	c	1		
12/01/2000	18:00	165	22,369	c	1		
12/01/2000	18:00	101,144	26,856	a	1		
12/01/2000	18:00	-42,615	17,615	a	1		
13/01/2000	0:00	141	29,94	c	1		
13/01/2000	0:00	82	27,458	c	1		
13/01/2000	0:00	-41,713	17,287	a	1		
13/01/2000	0:00	-176,805	49,805	a	1		
13/01/2000	6:00	151,023	30,977	c	1		
13/01/2000	6:00	-41	17,079	a	1		
13/01/2000	12:00	-39	16,777	a	1		
13/01/2000	12:00	-138	35,806	c	1		
13/01/2000	18:00	-35,687	18,313	a	1		
13/01/2000	18:00	-127	41,795	c	1		
13/01/2000	18:00	-157	26,642	c	1		
14/01/2000	0:00	153	28,652	a	1		
14/01/2000	0:00	106,468	26,468	a	1		
14/01/2000	0:00	-30	21,768	a	1		
14/01/2000	0:00	-154,881	25,881	c	1		
14/01/2000	6:00	-24	25,621	a	1		
14/01/2000	6:00	-150	24,616	a	1		
14/01/2000	12:00	113	27,646	c	1		
14/01/2000	12:00	-27	25,431	a	1		
14/01/2000	12:00	-40,652	23,348	a	1		
14/01/2000	12:00	-146	24,438	c	1		
14/01/2000	12:00	-173	33,666	c	1		
14/01/2000	18:00	159,779	26,779	a	1		
14/01/2000	18:00	118,576	27,576	c	1		
14/01/2000	18:00	-35,06	23	c	1		
